JENGIBRE bolsa x 1kg DEL PLATA,Especias,444
OREGANO bolsa x 1kg DEL PLATA,Especias,226
PEREJIL Deshidratado bolsa x 1kg DEL PLATA,Especias,345
PESTO bolsa x 1kg DEL PLATA,Especias,460
PIMENTON Español bolsa x 1kg DEL PLATA,Especias,295
PIMIENTA CAYENA ROJA bolsa x 1kg DEL PLATA,Especias,299
PIMIENTA BLANCA en grano bolsa x 1kg DEL PLATA,Especias,1942
PIMIENTA BLANCA Molida bolsa x 1kg DEL PLATA,Especias,1942
PIMIENTA NEGRA en grano bolsa x 1kg DEL PLATA,Especias,1146
PIMIENTA NEGRA Molida bolsa x 1kg DEL PLATA,Especias,1169
PROVENZAL Deshidratada bolsa x 1kg DEL PLATA,Especias,595
ROMERO bolsa x 1kg Del PLATA,Especias,498
SESAMO BLANCO bolsa x 1kg DEL PLATA,Especias,414
SESAMO NEGRO bolsa x 1kg DEL PLATA,Especias,414
QUINOA bolsa x 2kgs FINCAS ANDINAS,Especias,1195
TOMILLO Molido bolsa x 1kg DEL PLATA,Especias,556
Chizitos bolsa x 400gs COPETIN,Snacks,88
Maní Pelado bolsa x 800gs COPETIN,Snacks,172
Palitos Salados bolsa x 800gs COPETIN,Snacks,134
Papas Fritas bolsa x 650gs COPETIN,Snacks,249
Pan Rallado ROSA BLANCA bolsa x 5kgs, $ 86.50 , Rebozadores ,364
Rebozador ROSA BLANCA bolsa x 5kgs, $ 86.50 , Rebozadores ,364
Rebozador KNORR bolsa x 4kgs, $ 95.81 , Rebozadores ,367
CROUTONS x 30gs x 108unid. SANTA FE, Rebozadores ,920
Rebozador Total KNORR bolsa 1.5kg, $ 118.06 , Rebozadores ,468
Rebozador Total KNORR bolsa 10kgs , $ 663.04 , Rebozadores ,2498
BARRA DE QUESO DAMBO LA PAULINA, $ 77.00 , Quesos ,357
BARRA DE QUESO TIPO PATEGRAS DON FELIPE, $ 72.30 , Quesos ,335
BARRA de queso CHEDDAR SPALEN, $ 86.00 , Quesos ,399
BOCONCCINO LA LIEBRE Pouch x 1kg, $ 122.00 , Quesos ,566
Mascarpone LA LIEBRE Bolsa x 3kgs , $ 327.60 , Quesos ,1519
Mozzarella en barra DON FELIPE, $ 66.00 , Quesos ,306
Mozzarella en barra RICREM, $ 67.92 , Quesos ,315
Mozzarella x kg LOS JUANCITOS, $ 61.00 , Quesos ,283
QUESO PROVOLETA Hilada x kg NONNA PIA, $ 106.00 , Quesos ,491
QUESO PROVOLONE en bocha CASTELMAR, $ 156.16 , Quesos ,724
Queso Blanco LA LIEBRE Bolsa x 3kgs, $ 152.00 , Quesos ,705
Queso Blanco descremado LA LIEBRE Bolsa x 3kgs, $ 163.00 , Quesos ,756
Queso CHEDDAR Fundido Untable  LA PAULINA Bolsa x 3.8kgs , $ 282.00 , Quesos ,1307
Queso Crema LA LIEBRE  Bolsa x 3kgs, $ 168.00 , Quesos ,779
Queso Blanco Individual VERONICA 108unid. x 20gs , $ 192.40 , Quesos ,892
Queso Crema LA LIEBRE  Pote x 320gs, $ 19.84 , Quesos ,92
Queso CREMOSO DON FELIPE, $ 58.68 , Quesos ,272
Queso CREMOSO LA PAULINA, $ 67.99 , Quesos ,315
Queso FONTINA CASTELMAR, $ 109.56 , Quesos ,508
Queso FONTINA LA PAULINA, $ 134.48 , Quesos ,623
Queso GOUDA VERONICA, $ 124.25 , Quesos ,576
Queso GOYA LA PAULINA, $ 142.77 , Quesos ,662
Queso GRUYERE  JC en Cuñas, $ 172.90 , Quesos ,802
Queso PARMESANO CANUT, $ 186.00 , Quesos ,862
Queso PATEGRAS DON FELIPE, $ 82.00 , Quesos ,380
Queso PATEGRAS LA PAULINA, $ 130.00 , Quesos ,603
Queso PIMENTINO AHUMADO CANUT, $ 175.00 , Quesos ,811
Queso POR SALUT DON FELIPE , $ 65.00 , Quesos ,301
Queso POR SALUT DON FELIPE sin sal en Porciones, $ 72.06 , Quesos ,334
Queso POR SALUT LA PAULINA , $ 78.20 , Quesos ,363
Queso Rallado LA QUESERA x 3kgs , $ 315.90 , Quesos ,1465
Queso Rallado Individual LA QUESERA 100unid. x 8gs , $ 120.00 , Quesos ,556
REGIANITO Semi estacionado en Mitades CASTELMAR, $ 156.16 , Quesos ,724
REGIANITO Semi estacionado Entero CASTELMAR, $ 156.16 , Quesos ,724
ROQUEFORT  SHEHUEN, $ 118.00 , Quesos ,547
ROQUEFORT en pasta JC balde x 4.25kgs, $ 376.00 , Quesos ,1743
QUESO SARDOSARDO semi-estacionado DON FELIPE, $ 127.27 , Quesos ,590
QUESO SARDO Semi-estacionado EL ZORZAL, $ 130.00 , Quesos ,603
QUESO SARDO Semi-estacionado LA PAULINA, $ 160.34 , Quesos ,743
Dulce de Leche x 10Kgs CASTELMAR , $ 327.00 , lácteos ,1516
Dulce de Leche x 5kgs DON FELIPE , $ 184.00 , lácteos ,853
Dulce de Leche x 1kg  DON FELIPE, $ 37.00 , lácteos ,172
Dulce de Leche Individual VERONICA x 108unid. , $ 167.00 , lácteos ,774
Crema x 5lts TORRETA , $ 316.12 , lácteos ,1466
Leche en Polvo Entera x 25kgs VERONICA , $ 1.499.00 , lácteos ,6949
Leche entera larga vida 12unid. x 1lt VERONICA , $ 179.40 , lácteos ,832
Leche descremada larga vida 12unid. x 1ltVERONICA, $ 179.40 , lácteos ,832
Manteca x 5kgs CALITO , $ 337.00 , lácteos ,1562
Manteca Individual VERONICA 144unid. x 10gs, $ 237.00 , lácteos ,1099
Ricotta x 3kgs aprox. DON FELIPE , $ 96.60 , lácteos ,448
CREMA RELL. Cobertura VAINILLA LEDEVIT bolsa x 5lts, $ 240.00 , lácteos ,1113
CREMA RELL. Cobertura CHOCOLATE LEDEVIT bolsa x 5lts, $ 260.00 , lácteos ,1205
CREMA CHANTILLY en polvo LEDEVIT x 250gs, $ 20.00 , lácteos ,93
MERENGUE LISTO LEDEVIT x 250gs, $ 12.00 , lácteos ,56
MOUSSE DE CHOCOLATE LEDEVIT x 250gs, $ 26.00 , lácteos ,121
PASTELERA EXTRA LEDEVIT x 250gs, $ 15.00 , lácteos ,70
Aceto Balsámico x 3lts MONTERREY, $ 156.00 , aderezos ,723
Aceto Balsámico x 500ml ARISCO, $ 49.33 , aderezos ,229
Caesar PP 90unid. x 20cc HELLMANS, $ 195.25 , aderezos ,905
Jugo de Limón botella x 500cc MENOYO, $ 21.00 , aderezos ,97
Jugo de Limón PP 200unid. x 8cc ARISCO, $ 144.35 , aderezos ,669
Sal Fina PP 1000unid. x 1gr IXPAN, $ 75.00 , aderezos ,348
Sal Fina pack 30unid. x 500gs CELUSAL, $ 303.81 , aderezos ,1408
Sal Gruesa pack 12unid. x 1kg CELUSAL, $ 140.00 , aderezos ,649
Salsa de Soya x 1lt KNORR, $ 68.52 , aderezos ,318
Vinagre de Alcohol x 1lt MENOYO, $ 15.00 , aderezos ,70
Vinagre de Alcohol x 5lts MENOYO, $ 67.31 , aderezos ,312
Vinagre de Manzana x 1lt MENOYO, $ -   , aderezos ,0
Vinagre de Manzana PP 200unid. x 8cc ARISCO, $ 156.53 , aderezos ,726
Vinagre de Vino x 1lt MENOYO, $ 20.96 , aderezos ,97
Vinagre de Vino x 5 lts MENOYO, $ 91.01 , aderezos ,422
Vinagretta PP 90 x 20cc HELLMANS, $ 210.55 , aderezos ,976
Ketchup bolsa FANACOA x2900cc, $ 87.49 , aderezos ,406
Ketchup bolsa HELLMANS x 2900cc, $ 114.76 , aderezos ,532
Ketchup Pomo Sqz HELLMANS x 400gs , $ 28.83 , aderezos ,134
Ketchup PP FANACOA 196unid. x 8cc, $ 90.54 , aderezos ,420
Ketchup PP HELLMANS 196unid. x 8cc, $ 130.92 , aderezos ,607
Mayonesa Bolsa FANACOA x 2900cc , $ 62.34 , aderezos ,289
Mayonesa Bolsa HELLMANS SUAVE x 2900cc , $ 89.90 , aderezos ,417
Mayonesa Bolsa HELLMANS x 2900cc , $ 89.90 , aderezos ,417
Mayonesa Bolsa WILDE x 2900cc, $ -   , aderezos ,0
Mayonesa Pomo Sqz HELLMANS x 332gs , $ 19.81 , aderezos ,92
Mayonesa PP FANACOA 196unid. x 8cc , $ 78.90 , aderezos ,366
Mayonesa PP HELLMANS 196unid. x 8cc , $ 100.58 , aderezos ,466
Mostaza Bolsa FANACOA x 2900cc, $ 63.28 , aderezos ,293
Mostaza PP FANACOA 192unid. x 8cc , $ 75.00 , aderezos ,348
Salsa Barbacoa Doy Pack HELLMANS x 1kg, $ 42.28 , aderezos ,196
Salsa Barbacoa Pomo SqzHELLMANS x 400gs, $ 29.35 , aderezos ,136
Salsa Golf Bolsa HELLMANS x 2900cc  , $ 115.54 , aderezos ,536
Salsa Golf Pomo Sqz HELLMANS x 350gs , $ 23.88 , aderezos ,111
Salsa Golf PP HELLMANS 196unid. x 8cc, $ 108.55 , aderezos ,503
Savora Bolsa HELLMANS x 2900cc , $ 80.67 , aderezos ,374
Savora Doy Pack HELLMANS x 1kg, $ 33.69 , aderezos ,156
Savora Pomo Sqz HELLMANS 370gs , $ 18.13 , aderezos ,84
Savora PP HELLMANS 192unid. x 8cc , $ 95.00 , aderezos ,440
PREPARADO CARNE PICADA 1.1kg KNORR, $ 115.65 , salsas ,536
Fumet de pescado bolsa x 400gs KNORR, $ 106.62 , salsas ,494
Salsa blanca bolsa x 880gs KNORR, $ 83.93 , salsas ,389
